Id,eigencentrality,betweenesscentrality
Death Locket,0.098175,0
Diablo,0.098175,0
Egghead,0.098175,0
Excavator,0.098175,0
Executioner,0.098175,0
Firebrand,0.098175,0
Flying Tiger,0.098175,0
Gargantua,0.098175,0
Griffin,0.098175,0
Icemaster,0.098175,0
Lady Stilt-Man,0.098175,0
Lascivous,0.098175,0
Letha,0.098175,0
Lodestone,0.098175,0
Machinesmith,0.098175,0
Madame Masque,0.098175,0
Mako,0.098175,0
Man-Ape,0.098175,0
Max-Fury,0.098175,0
Melter (Christopher Colchiss),0.098175,0
Miss Coriander,0.098175,0
Oddball,0.098175,0
Pink Pearl,0.098175,0
Porcupine,0.098175,0
Powderkeg,0.098175,0
Radioactive Kid,0.098175,0
Ringer,0.098175,0
Screaming Mimi,0.098175,0
Shatterfist,0.098175,0
Shockwave,0.098175,0
Sunstroke,0.098175,0
Supercharger,0.098175,0
Tinkerer,0.098175,0
Ultron,0.098175,0
Vengeance,0.098175,0
Yellowjacket (Rita DeMara),0.098175,0
